#HIMS 5, Width 16 pulse, 1056
t(ms), signal(%full range)
0.003, 5.067
0.008, 4.332
0.013, 3.986
0.018, 3.930
0.023, 4.032
0.028, 4.194
0.033, 4.356
0.038, 4.494
0.043, 4.601
0.048, 4.677
0.053, 4.724
0.058, 4.752
0.063, 4.763
0.068, 4.766
0.073, 4.757
0.078, 4.748
0.083, 4.976
0.088, 5.672
0.093, 5.972
0.098, 6.045
0.103, 5.962
0.108, 5.821
0.113, 5.660
0.118, 5.512
0.123, 5.388
0.128, 5.298
0.133, 5.237
0.138, 5.199
0.143, 5.187
0.148, 5.179
0.153, 5.180
0.158, 5.187
0.163, 5.194
0.168, 5.203
0.173, 5.208
0.178, 5.211
0.183, 5.215
0.188, 5.221
0.193, 5.222
0.198, 5.228
0.203, 5.232
0.208, 5.231
0.213, 5.235
0.218, 5.245
0.223, 5.240
0.228, 5.244
0.233, 5.249
0.238, 5.251
0.243, 5.256
0.248, 5.262
0.253, 5.259
0.258, 5.257
0.263, 5.256
0.268, 5.262
0.273, 5.268
0.278, 5.273
0.283, 5.277
0.288, 5.278
0.293, 5.277
0.298, 5.277
0.303, 5.280
0.308, 5.283
0.313, 5.287
0.318, 5.288
0.323, 5.289
0.328, 5.286
0.333, 5.289
0.338, 5.290
0.343, 5.292
0.348, 5.291
0.353, 5.294
0.358, 5.293
0.363, 5.301
0.368, 5.300
0.373, 5.298
0.378, 5.298
0.383, 5.303
0.388, 5.308
0.393, 5.309
0.398, 5.311
0.403, 5.309
0.408, 5.314
0.413, 5.310
0.418, 5.317
0.423, 5.318
0.428, 5.321
0.433, 5.322
0.438, 5.320
0.443, 5.314
0.448, 5.316
0.453, 5.314
0.458, 5.318
0.463, 5.320
0.468, 5.325
0.473, 5.325
0.478, 5.330
0.483, 5.326
0.488, 5.333
0.493, 5.333
0.498, 5.330
0.503, 5.334
0.508, 5.329
0.513, 5.325
0.518, 5.328
0.523, 5.328
0.528, 5.330
0.533, 5.329
0.538, 5.329
0.543, 5.335
