#Header
numberOfMeasurements = 50
sampling = 5
gate = 4
X(ms), Y1
0.003, 4.822
0.008, 4.064
0.013, 3.724
0.018, 3.688
0.023, 3.800
0.028, 3.957
0.033, 4.137
0.038, 4.261
0.043, 4.375
0.048, 4.439
0.053, 4.478
0.058, 4.502
0.063, 4.498
0.068, 4.483
0.073, 4.489
0.078, 4.486
0.083, 4.741
0.088, 5.438
0.093, 5.737
0.098, 5.811
0.103, 5.731
0.108, 5.583
0.113, 5.418
0.118, 5.261
0.123, 5.134
0.128, 5.042
0.133, 4.977
0.138, 4.939
0.143, 4.916
0.148, 4.906
0.153, 4.920
0.158, 4.930
0.163, 4.951
0.168, 4.963
0.173, 4.968
0.178, 4.981
0.183, 4.987
0.188, 4.988
0.193, 4.994
0.198, 4.993
0.203, 4.991
0.208, 4.995
0.213, 4.976
0.218, 4.989
0.223, 4.974
0.228, 4.977
0.233, 4.969
0.238, 4.994
0.243, 4.994
0.248, 4.996
0.253, 5.024
0.258, 5.038
0.263, 5.045
0.268, 5.052
0.273, 5.047
0.278, 5.040
0.283, 5.027
0.288, 5.020
0.293, 5.032
0.298, 5.027
0.303, 5.041
0.308, 5.041
0.313, 5.035
0.318, 5.025
0.323, 5.033
0.328, 5.025
0.333, 5.025
0.338, 5.049
0.343, 5.049
0.348, 5.063
0.353, 5.064
0.358, 5.055
0.363, 5.050
0.368, 5.050
0.373, 5.054
0.378, 5.037
0.383, 5.039
0.388, 5.061
0.393, 5.050
0.398, 5.053
0.403, 5.064
0.408, 5.073
0.413, 5.069
0.418, 5.058
0.423, 5.076
0.428, 5.069
0.433, 5.075
0.438, 5.081
0.443, 5.076
0.448, 5.082
0.453, 5.073
0.458, 5.080
0.463, 5.083
0.468, 5.068
0.473, 5.074
0.478, 5.074
0.483, 5.089
0.488, 5.079
0.493, 5.088
0.498, 5.086
0.503, 5.107
0.508, 5.089
0.513, 5.084
0.518, 5.089
0.523, 5.094
0.528, 5.096
0.533, 5.074
0.538, 5.064
0.543, 5.066
0.548, 5.073
0.553, 5.088
0.558, 5.107
0.563, 5.095
0.568, 5.100
0.573, 5.098
0.578, 5.090
0.583, 5.095
0.588, 5.088
0.593, 5.091
0.598, 5.087
0.603, 5.104
0.608, 5.099
0.613, 5.092
0.618, 5.087
0.623, 5.089
0.628, 5.083
0.633, 5.080
0.638, 5.071
0.643, 5.072
0.648, 5.088
0.653, 5.103
0.658, 5.113
0.663, 5.107
0.668, 5.114
0.673, 5.112
0.678, 5.117
0.683, 5.104
0.688, 5.111
0.693, 5.092
0.698, 5.089
0.703, 5.086
0.708, 5.096
0.713, 5.088
0.718, 5.086
0.723, 5.088
0.728, 5.089
0.733, 5.091
0.738, 5.097
0.743, 5.090
0.748, 5.092
0.753, 5.097
0.758, 5.109
0.763, 5.108
0.768, 5.110
0.773, 5.111
0.778, 5.103
0.783, 5.113
0.788, 5.090
0.793, 5.101
0.798, 5.097
0.803, 5.098
0.808, 5.079
0.813, 5.085
0.818, 5.082
0.823, 5.105
0.828, 5.114
0.833, 5.109
0.838, 5.106
0.843, 5.100
0.848, 5.102
0.853, 5.100
0.858, 5.102
0.863, 5.100
0.868, 5.090
0.873, 5.081
0.878, 5.076
0.883, 5.070
0.888, 5.083
0.893, 5.083
0.898, 5.091
0.903, 5.098
0.908, 5.093
0.913, 5.096
0.918, 5.104
0.923, 5.094
0.928, 5.096
0.933, 5.096
0.938, 5.083
0.943, 5.078
0.948, 5.081
0.953, 5.075
0.958, 5.064
0.963, 5.067
0.968, 5.071
0.973, 5.076
0.978, 5.083
0.983, 5.076
0.988, 5.089
0.993, 5.103
0.998, 5.094
1.003, 5.100
1.008, 5.098
1.013, 5.088
1.018, 5.090
1.023, 5.096
1.028, 5.095
1.033, 5.084
1.038, 5.069
1.043, 5.059
1.048, 5.057
1.053, 5.070
1.058, 5.076
1.063, 5.080
1.068, 5.085
1.073, 5.087
1.078, 5.088
1.083, 5.090
1.088, 5.083
1.093, 5.072
1.098, 5.070
1.103, 5.077
1.108, 5.075
1.113, 5.077
1.118, 5.072
1.123, 5.073
1.128, 5.069
1.133, 5.062
1.138, 5.056
1.143, 5.076
1.148, 5.080
1.153, 5.082
1.158, 5.090
1.163, 5.085
1.168, 5.090
1.173, 5.103
1.178, 5.076
1.183, 5.082
1.188, 5.070
1.193, 5.056
1.198, 5.056
1.203, 5.054
1.208, 5.053
1.213, 5.046
1.218, 5.060
1.223, 5.069
1.228, 5.069
1.233, 5.065
1.238, 5.077
1.243, 5.075
1.248, 5.074
1.253, 5.085
1.258, 5.085
1.263, 5.076
1.268, 5.079
1.273, 5.061
1.278, 5.058
1.283, 5.064
1.288, 5.079
1.293, 5.071
1.298, 5.070
1.303, 5.077
1.308, 5.076
1.313, 5.081
1.318, 5.077
1.323, 5.073
1.328, 5.071
1.333, 5.052
1.338, 5.055
1.343, 5.061
1.348, 5.050
1.353, 5.053
